name,slug,path,is_port
Gdansk,PLGDN,northern_europe.baltic.poland_main.PLGDN,true
Drammen,NODRM,northern_europe.scandinavia.norway_south_east.NODRM,true
Sandnes,NOSAS,northern_europe.scandinavia.norway_south_west.NOSAS,true
Kristiansand,NOKRS,northern_europe.scandinavia.norway_south_east.NOKRS,true
Sunndalsøra,NOSUN,northern_europe.scandinavia.NOSUN,true
Belfast,GBBEL,northern_europe.north_europe_sub.uk_sub.GBBEL,true
Århus,DKAAR,northern_europe.scandinavia.kattegat.DKAAR,true
Rouen,FRURO,northern_europe.north_europe_sub.FRURO,true
London Gateway Port,GBLGP,northern_europe.north_europe_sub.uk_sub.GBLGP,true
Åhus,SEAHU,northern_europe.scandinavia.SEAHU,true
Brevik,NOBVK,northern_europe.scandinavia.norway_south_east.NOBVK,true
Antibes,FRANT,northern_europe.north_europe_sub.FRANT,true
Arkhangelsk,RUARH,northern_europe.russia_north_west.RUARH,true
Tromsø,NOTOS,northern_europe.scandinavia.NOTOS,true
Gothenburg (Göteborg),SEGOT,northern_europe.scandinavia.kattegat.SEGOT,true
Imatra,FIIMA,northern_europe.baltic.FIIMA,true
Kemi/Torneå (Kemi/Tornio),FIKEM,northern_europe.baltic.FIKEM,true
Grangemouth,GBGRG,northern_europe.north_europe_sub.uk_sub.GBGRG,true
Tallinn,EETLL,northern_europe.baltic.baltic_main.EETLL,true
Fredrikshamn (Hamina),FIHMN,northern_europe.baltic.FIHMN,true
Saint Petersburg (ex Leningrad),RULED,northern_europe.baltic.RULED,true
Liverpool,GBLIV,northern_europe.north_europe_sub.uk_sub.GBLIV,true
Guangzhou,CNGGZ,china_main.china_south_main.CNGGZ,true
Trondheim,NOTRD,northern_europe.scandinavia.norway_north_west.NOTRD,true
Dunkirk,FRIRK,northern_europe.north_europe_sub.FRIRK,true
Nantes,FRNTE,northern_europe.north_europe_sub.FRNTE,true
Qingdao,CNQIN,china_main.china_east_main.CNQIN,true
Lugovoye,RULUG,northern_europe.baltic.RULUG,true
Bristol,GBBRS,northern_europe.north_europe_sub.uk_sub.GBBRS,true
Goole,GBGOO,northern_europe.north_europe_sub.uk_sub.GBGOO,true
Lianyungang,CNLYG,china_main.china_east_main.CNLYG,true
Thamesport,GBTHP,northern_europe.north_europe_sub.uk_sub.GBTHP,true
Haugesund,NOHAU,northern_europe.scandinavia.norway_south_west.NOHAU,true
Riga,LVRIX,northern_europe.baltic.baltic_main.LVRIX,true
Aalborg,DKAAL,northern_europe.scandinavia.DKAAL,true
Felixstowe,GBFXT,northern_europe.north_europe_main.uk_main.GBFXT,true
Moss,NOMSS,northern_europe.scandinavia.norway_south_east.NOMSS,true
Amsterdam,NLAMS,northern_europe.north_europe_sub.NLAMS,true
Thorshavn,FOTHO,northern_europe.scandinavia.FOTHO,true
Høyanger,NOHYR,northern_europe.scandinavia.NOHYR,true
Tananger,NOTAE,northern_europe.scandinavia.NOTAE,true
Xingang (Tianjin New Pt),CNTXG,china_main.china_north_main.CNTXG,true
Gävle,SEGVX,northern_europe.scandinavia.stockholm_area.SEGVX,true
Southampton,GBSOU,northern_europe.north_europe_main.uk_main.GBSOU,true
Xiamen,CNXAM,china_main.china_east_main.CNXAM,true
Ust'-Luga,RUULU,northern_europe.baltic.RUULU,true
Bergen,NOBGO,northern_europe.scandinavia.norway_south_west.NOBGO,true
"Marin, Pontevedra",ESMPG,northern_europe.north_europe_sub.ESMPG,true
Hamburg,DEHAM,northern_europe.north_europe_main.DEHAM,true
Oxelösund,SEOXE,northern_europe.scandinavia.stockholm_area.SEOXE,true
Larvik,NOLAR,northern_europe.scandinavia.norway_south_east.NOLAR,true
Yantian,CNYTN,china_main.china_south_main.CNYTN,true
Reykjavík,ISREY,northern_europe.scandinavia.ISREY,true
Bilbao,ESBIO,northern_europe.north_europe_sub.ESBIO,true
Grundartangi,ISGRT,northern_europe.scandinavia.ISGRT,true
Gjemnes,NOGJM,northern_europe.scandinavia.NOGJM,true
Brest,FRBES,northern_europe.north_europe_sub.FRBES,true
Orkanger,NOORK,northern_europe.scandinavia.norway_north_west.NOORK,true
Ålesund,NOAES,northern_europe.scandinavia.norway_north_west.NOAES,true
Stockholm,SESTO,northern_europe.scandinavia.stockholm_area.SESTO,true
Immingham,GBIMM,northern_europe.north_europe_sub.uk_sub.GBIMM,true
Klaipeda,LTKLJ,northern_europe.baltic.baltic_main.LTKLJ,true
Kaliningrad,RUKGD,northern_europe.baltic.RUKGD,true
Greenock,GBGRK,northern_europe.north_europe_sub.uk_sub.GBGRK,true
Piteå,SEPIT,northern_europe.scandinavia.SEPIT,true
Vitoria-Gasteiz,ESVIT,northern_europe.north_europe_sub.ESVIT,true
Esbjerg,DKEBJ,northern_europe.scandinavia.DKEBJ,true
South Shields,GBSSH,northern_europe.north_europe_sub.uk_sub.GBSSH,true
